SNP_ID	DiseaseTrait
rs4951373	No associated clinical information for this SNP
rs17334387	No associated clinical information for this SNP
rs4252690	No associated clinical information for this SNP
rs898388	No associated clinical information for this SNP
rs12046747	Smoking cessation
rs12079489	No associated clinical information for this SNP
rs1610399	No associated clinical information for this SNP
rs1538222	No associated clinical information for this SNP
rs11240252	No associated clinical information for this SNP
rs6676726	No associated clinical information for this SNP
rs6680376	No associated clinical information for this SNP
rs12408321	No associated clinical information for this SNP
rs1329632	No associated clinical information for this SNP
rs2093537	No associated clinical information for this SNP
rs16854367	No associated clinical information for this SNP
rs16854385	No associated clinical information for this SNP
rs6702373	No associated clinical information for this SNP
rs7413575	No associated clinical information for this SNP
rs750087	No associated clinical information for this SNP
rs2759282	No associated clinical information for this SNP
rs12405378	No associated clinical information for this SNP
rs17336419	No associated clinical information for this SNP
rs2595955	No associated clinical information for this SNP
rs12036722	No associated clinical information for this SNP
rs3820336	No associated clinical information for this SNP
rs2802809	No associated clinical information for this SNP
rs6697344	No associated clinical information for this SNP
rs2794867	No associated clinical information for this SNP
rs12731223	No associated clinical information for this SNP
rs10793722	No associated clinical information for this SNP
rs4951161	No associated clinical information for this SNP
rs3738154	No associated clinical information for this SNP
rs11240358	Triglyceride levels
rs11240359	No associated clinical information for this SNP
rs12120595	No associated clinical information for this SNP
rs1172139	No associated clinical information for this SNP
rs4951191	No associated clinical information for this SNP
rs2275869	No associated clinical information for this SNP
rs1539695	No associated clinical information for this SNP
rs12067235	No associated clinical information for this SNP
rs4950989	No associated clinical information for this SNP
rs12059162	No associated clinical information for this SNP
rs12135649	No associated clinical information for this SNP
rs11240466	No associated clinical information for this SNP
rs1928442	No associated clinical information for this SNP
rs17346622	No associated clinical information for this SNP
rs6692041	No associated clinical information for this SNP
rs12058761	No associated clinical information for this SNP
rs4951232	No associated clinical information for this SNP
rs12034971	No associated clinical information for this SNP
rs12035608	General cognitive ability
rs12092624	No associated clinical information for this SNP
rs4951247	No associated clinical information for this SNP
rs7555776	No associated clinical information for this SNP
rs7540439	No associated clinical information for this SNP
rs16856148	No associated clinical information for this SNP
rs1172198	No associated clinical information for this SNP
rs6676110	No associated clinical information for this SNP
rs823096	No associated clinical information for this SNP
rs11240572	No associated clinical information for this SNP
rs7517009	No associated clinical information for this SNP
rs7364618	No associated clinical information for this SNP
rs9438438	No associated clinical information for this SNP
rs11240593	No associated clinical information for this SNP
rs16856468	No associated clinical information for this SNP
rs16856473	No associated clinical information for this SNP
rs12036341	No associated clinical information for this SNP
rs12568779	No associated clinical information for this SNP
rs1473537	No associated clinical information for this SNP
rs9438406	No associated clinical information for this SNP
rs7415921	No associated clinical information for this SNP
rs12095392	Total PHF-tau (SNP x SNP interaction)
rs28670799	No associated clinical information for this SNP
rs28419084	No associated clinical information for this SNP
rs28425623	No associated clinical information for this SNP
rs28588803	No associated clinical information for this SNP
rs28609772	No associated clinical information for this SNP
rs28729875	No associated clinical information for this SNP
rs12568232	No associated clinical information for this SNP
rs17006055	No associated clinical information for this SNP
rs2483062	No associated clinical information for this SNP
rs2483060	No associated clinical information for this SNP
rs12130290	No associated clinical information for this SNP
rs11118087	No associated clinical information for this SNP
rs4844540	No associated clinical information for this SNP
rs7512541	No associated clinical information for this SNP
rs11811382	No associated clinical information for this SNP
rs13208	No associated clinical information for this SNP
rs12127039	No associated clinical information for this SNP
rs11119265	No associated clinical information for this SNP
rs13376708	No associated clinical information for this SNP
rs1800894	No associated clinical information for this SNP
rs6683473	No associated clinical information for this SNP
rs12046559	No associated clinical information for this SNP
rs1770372	No associated clinical information for this SNP
rs1356495	No associated clinical information for this SNP
rs12119983	No associated clinical information for this SNP
rs11119925	No associated clinical information for this SNP
rs2000059	No associated clinical information for this SNP
rs2842716	5alpha-pregnan-3beta,20alpha-diol disulfate levels in elite athletes
rs12129638	No associated clinical information for this SNP
rs11586424	No associated clinical information for this SNP
rs12408621	No associated clinical information for this SNP
rs7525449	No associated clinical information for this SNP
rs10864026	No associated clinical information for this SNP
rs10877	No associated clinical information for this SNP
rs1890869	No associated clinical information for this SNP
rs12061493	No associated clinical information for this SNP
rs2629676	No associated clinical information for this SNP
rs2054780	No associated clinical information for this SNP
rs3813948	C4b binding protein levels
rs2808470	Platelet side scatter distribution width
rs4571969	No associated clinical information for this SNP
rs4266889	C1q-related factor levels
rs17258815	No associated clinical information for this SNP
rs17022385	No associated clinical information for this SNP
rs12134133	Vaginal microbiome MetaCyc pathway (METH-ACETATE-PWY|methanogenesis from acetate)
rs2135923	No associated clinical information for this SNP
rs17042520	No associated clinical information for this SNP
rs1048971	No associated clinical information for this SNP
rs17615	No associated clinical information for this SNP
rs9429776	No associated clinical information for this SNP
rs2182909	No associated clinical information for this SNP
rs2025935	No associated clinical information for this SNP
rs11118131	No associated clinical information for this SNP
rs6691117	No associated clinical information for this SNP
rs1323722	No associated clinical information for this SNP
rs10863461	No associated clinical information for this SNP
rs12567945	No associated clinical information for this SNP
rs10494884	No associated clinical information for this SNP
rs7527798	Erythrocyte sedimentation rate
rs761276	Keratoconus
rs12024058	No associated clinical information for this SNP
rs861475	No associated clinical information for this SNP
rs2556	No associated clinical information for this SNP
rs2259397	No associated clinical information for this SNP
rs2796254	No associated clinical information for this SNP
rs2267895	No associated clinical information for this SNP
rs651480	No associated clinical information for this SNP
rs3811383	No associated clinical information for this SNP
rs1409831	No associated clinical information for this SNP
rs841865	No associated clinical information for this SNP
rs12057548	No associated clinical information for this SNP
rs12083980	No associated clinical information for this SNP
rs11118988	No associated clinical information for this SNP
rs3811390	No associated clinical information for this SNP
rs473500	No associated clinical information for this SNP
rs4844411	No associated clinical information for this SNP
rs1604364	No associated clinical information for this SNP
rs11118996	No associated clinical information for this SNP
rs2590684	No associated clinical information for this SNP
rs1545341	No associated clinical information for this SNP
rs10863704	No associated clinical information for this SNP
rs12126061	No associated clinical information for this SNP
rs1620298	No associated clinical information for this SNP
rs12058868	No associated clinical information for this SNP
rs2801193	No associated clinical information for this SNP
rs2154229	No associated clinical information for this SNP
rs2590691	No associated clinical information for this SNP
rs6704329	No associated clinical information for this SNP
rs6540464	No associated clinical information for this SNP
rs17012371	No associated clinical information for this SNP
rs6695225	No associated clinical information for this SNP
rs17012410	No associated clinical information for this SNP
rs2217357	No associated clinical information for this SNP
rs6661433	No associated clinical information for this SNP
rs7519519	No associated clinical information for this SNP
rs12035377	No associated clinical information for this SNP
rs696981	No associated clinical information for this SNP
rs12408607	No associated clinical information for this SNP
rs2163039	No associated clinical information for this SNP
rs1499575	No associated clinical information for this SNP
rs12124696	No associated clinical information for this SNP
rs6662504	No associated clinical information for this SNP
rs4844678	No associated clinical information for this SNP
rs9645353	No associated clinical information for this SNP
rs1499585	No associated clinical information for this SNP
rs696958	No associated clinical information for this SNP
rs10863712	No associated clinical information for this SNP
rs7527336	No associated clinical information for this SNP
rs841497	No associated clinical information for this SNP
rs1539168	No associated clinical information for this SNP
rs1856719	No associated clinical information for this SNP
rs6694783	No associated clinical information for this SNP
rs4391668	No associated clinical information for this SNP
rs10863723	No associated clinical information for this SNP
rs17013082	No associated clinical information for this SNP
rs13375803	No associated clinical information for this SNP
rs10494907	No associated clinical information for this SNP
rs7514841	No associated clinical information for this SNP
rs1933566	No associated clinical information for this SNP
rs6690048	No associated clinical information for this SNP
rs12084143	No associated clinical information for this SNP
rs6693169	No associated clinical information for this SNP
rs1316354	No associated clinical information for this SNP
rs10863726	No associated clinical information for this SNP
rs10494908	No associated clinical information for this SNP
rs1933573	No associated clinical information for this SNP
rs11119153	No associated clinical information for this SNP
rs17013632	No associated clinical information for this SNP
rs17187806	Core binding factor acute myeloid leukemia
rs11119159	No associated clinical information for this SNP
rs17013679	No associated clinical information for this SNP
rs7368359	No associated clinical information for this SNP
rs1320539	No associated clinical information for this SNP
rs10494912	No associated clinical information for this SNP
rs6697933	No associated clinical information for this SNP
rs2761774	No associated clinical information for this SNP
rs7526243	No associated clinical information for this SNP
rs1078550	Ximenoylcarnitine (C26:1) levels in elite athletes
rs6670957	No associated clinical information for this SNP
rs1924259	No associated clinical information for this SNP
rs12032382	No associated clinical information for this SNP
rs6685963	No associated clinical information for this SNP
rs17014015	Core binding factor acute myeloid leukemia
rs12759484	Core binding factor acute myeloid leukemia
rs1933612	No associated clinical information for this SNP
rs2250701	No associated clinical information for this SNP
rs2800919	No associated clinical information for this SNP
rs2788154	No associated clinical information for this SNP
rs6676705	No associated clinical information for this SNP
rs4844815	No associated clinical information for this SNP
rs11811038	No associated clinical information for this SNP
rs17014396	No associated clinical information for this SNP
rs1857967	No associated clinical information for this SNP
rs12119464	No associated clinical information for this SNP
rs17381113	No associated clinical information for this SNP
rs12045481	No associated clinical information for this SNP
rs2179655	No associated clinical information for this SNP
rs12737310	No associated clinical information for this SNP
rs6696036	No associated clinical information for this SNP
rs12750212	No associated clinical information for this SNP
rs4844477	No associated clinical information for this SNP
rs6703183	Amyotrophic lateral sclerosis
rs7525534	No associated clinical information for this SNP
rs11119309	No associated clinical information for this SNP
rs742253	No associated clinical information for this SNP
rs880782	No associated clinical information for this SNP
rs2076222	Fentanyl consumption in laparoscopic-assisted colectomy (first 24 hours)
rs12137442	No associated clinical information for this SNP
rs12126519	No associated clinical information for this SNP
rs10489341	No associated clinical information for this SNP
rs7550857	No associated clinical information for this SNP
rs17015309	No associated clinical information for this SNP
rs2064163	Nonsyndromic cleft lip with cleft palate
rs227178	Problematic alcohol use (MTAG)
rs923561	No associated clinical information for this SNP
rs6701631	No associated clinical information for this SNP
rs10436975	No associated clinical information for this SNP
rs1014370	No associated clinical information for this SNP
rs654523	No associated clinical information for this SNP
rs845452	No associated clinical information for this SNP
rs650728	No associated clinical information for this SNP
rs587203	No associated clinical information for this SNP
rs4430327	No associated clinical information for this SNP
rs6697682	No associated clinical information for this SNP
rs4845006	No associated clinical information for this SNP
rs7527939	Schizophrenia
rs742560	No associated clinical information for this SNP
rs2073038	No associated clinical information for this SNP
rs10489385	No associated clinical information for this SNP
rs926578	No associated clinical information for this SNP
rs3819985	No associated clinical information for this SNP
rs981754	No associated clinical information for this SNP
rs12031180	No associated clinical information for this SNP
rs11582700	No associated clinical information for this SNP
rs10779530	No associated clinical information for this SNP
rs12021963	No associated clinical information for this SNP
rs6691759	Guanidinoacetate levels in elite athletes
rs12130516	No associated clinical information for this SNP
rs2000394	No associated clinical information for this SNP
rs12040304	No associated clinical information for this SNP
rs4845054	No associated clinical information for this SNP
rs12217125	No associated clinical information for this SNP
rs4845057	No associated clinical information for this SNP
rs11119547	No associated clinical information for this SNP
rs6540614	No associated clinical information for this SNP
rs11119552	No associated clinical information for this SNP
rs10465688	No associated clinical information for this SNP
rs12410510	No associated clinical information for this SNP
rs12122067	No associated clinical information for this SNP
rs4472816	Height
rs2078224	No associated clinical information for this SNP
rs4951519	No associated clinical information for this SNP
rs6680517	No associated clinical information for this SNP
rs10494928	Core binding factor acute myeloid leukemia
rs17260690	Core binding factor acute myeloid leukemia
rs17260718	No associated clinical information for this SNP
rs1953951	No associated clinical information for this SNP
rs1890844	No associated clinical information for this SNP
rs17016821	Age when finished full-time education (standard GWA)
rs12126727	No associated clinical information for this SNP
rs7532949	No associated clinical information for this SNP
rs11119613	No associated clinical information for this SNP
rs3905343	No associated clinical information for this SNP
rs1160575	No associated clinical information for this SNP
rs6662529	No associated clinical information for this SNP
rs1338348	No associated clinical information for this SNP
rs12735839	No associated clinical information for this SNP
rs10494934	No associated clinical information for this SNP
rs12083429	No associated clinical information for this SNP
rs11577985	No associated clinical information for this SNP
rs11119729	No associated clinical information for this SNP
rs12124008	No associated clinical information for this SNP
rs11119751	No associated clinical information for this SNP
rs4951761	No associated clinical information for this SNP
rs4951535	No associated clinical information for this SNP
rs609832	No associated clinical information for this SNP
rs9430069	No associated clinical information for this SNP
rs12030478	No associated clinical information for this SNP
rs9430074	No associated clinical information for this SNP
rs11580557	No associated clinical information for this SNP
rs6670986	No associated clinical information for this SNP
rs7553718	No associated clinical information for this SNP
rs701921	No associated clinical information for this SNP
rs10494940	No associated clinical information for this SNP
rs12096414	No associated clinical information for this SNP
rs11119795	No associated clinical information for this SNP
rs12569332	No associated clinical information for this SNP
rs7512315	No associated clinical information for this SNP
rs12026631	No associated clinical information for this SNP
rs1663171	No associated clinical information for this SNP
rs894857	No associated clinical information for this SNP
rs3862952	Height
rs6680326	No associated clinical information for this SNP
rs12121773	No associated clinical information for this SNP
rs28451400	No associated clinical information for this SNP
rs2970580	No associated clinical information for this SNP
rs12121937	No associated clinical information for this SNP
rs2788135	No associated clinical information for this SNP
rs3795836	No associated clinical information for this SNP
rs1387815	No associated clinical information for this SNP
rs12132233	No associated clinical information for this SNP
rs9651112	No associated clinical information for this SNP
rs10494950	No associated clinical information for this SNP
rs903124	No associated clinical information for this SNP
rs6679064	No associated clinical information for this SNP
rs7530958	No associated clinical information for this SNP
rs1967114	No associated clinical information for this SNP
rs4951580	No associated clinical information for this SNP
rs1472226	Hemoglobin
rs1389371	No associated clinical information for this SNP
rs12145451	No associated clinical information for this SNP
rs7538428	No associated clinical information for this SNP
rs351408	No associated clinical information for this SNP
rs12033204	No associated clinical information for this SNP
rs1342151	No associated clinical information for this SNP
rs6676208	No associated clinical information for this SNP
rs10863965	No associated clinical information for this SNP
rs3767868	No associated clinical information for this SNP
rs4951446	No associated clinical information for this SNP
rs12746015	No associated clinical information for this SNP
rs11119953	No associated clinical information for this SNP
rs7535116	No associated clinical information for this SNP
rs11119967	No associated clinical information for this SNP
rs11811628	No associated clinical information for this SNP
rs17019384	No associated clinical information for this SNP
rs11119989	No associated clinical information for this SNP
rs2501846	Thiopurine-induced leukopenia in inflammatory bowel disease (conditioned on rs116855232)
rs6540762	No associated clinical information for this SNP
rs4951638	No associated clinical information for this SNP
rs3768548	No associated clinical information for this SNP
rs11120063	No associated clinical information for this SNP
rs6656706	No associated clinical information for this SNP
rs6680470	No associated clinical information for this SNP
rs3124668	No associated clinical information for this SNP
rs11542154	No associated clinical information for this SNP
rs1187798	No associated clinical information for this SNP
rs12087672	No associated clinical information for this SNP
rs11580058	No associated clinical information for this SNP
rs12725603	No associated clinical information for this SNP
rs748795	No associated clinical information for this SNP
rs12049265	No associated clinical information for this SNP
rs1439464	No associated clinical information for this SNP
rs10494959	Diffuse plaques (SNP x SNP interaction)
rs17020954	No associated clinical information for this SNP
rs11120162	No associated clinical information for this SNP
rs17021090	No associated clinical information for this SNP
rs11120179	No associated clinical information for this SNP
rs6693655	No associated clinical information for this SNP
rs10779605	No associated clinical information for this SNP
rs1509876	No associated clinical information for this SNP
rs17706439	RR interval (heart rate)
rs11120194	No associated clinical information for this SNP
rs1509871	No associated clinical information for this SNP
rs12409838	No associated clinical information for this SNP
rs12046862	No associated clinical information for this SNP
rs1891060	No associated clinical information for this SNP
rs6693625	No associated clinical information for this SNP
rs6540803	No associated clinical information for this SNP
rs12118140	No associated clinical information for this SNP
rs2236580	No associated clinical information for this SNP
rs10864077	No associated clinical information for this SNP
rs11120231	No associated clinical information for this SNP
rs7554135	No associated clinical information for this SNP
rs11808079	No associated clinical information for this SNP
rs340856	No associated clinical information for this SNP
rs340883	Sex hormone-binding globulin levels
rs17021749	No associated clinical information for this SNP
rs13376660	No associated clinical information for this SNP
rs4655314	No associated clinical information for this SNP
rs726334	No associated clinical information for this SNP
rs1431989	No associated clinical information for this SNP
rs4655316	No associated clinical information for this SNP
rs1223757	No associated clinical information for this SNP
rs1223755	No associated clinical information for this SNP
rs920489	No associated clinical information for this SNP
rs1660378	No associated clinical information for this SNP
rs1795036	No associated clinical information for this SNP
rs1795031	No associated clinical information for this SNP
rs7535649	No associated clinical information for this SNP
rs13376232	No associated clinical information for this SNP
rs10494968	No associated clinical information for this SNP
rs11120288	No associated clinical information for this SNP
rs6540817	No associated clinical information for this SNP
rs12144357	No associated clinical information for this SNP
rs6677193	No associated clinical information for this SNP
rs1472444	No associated clinical information for this SNP
rs10158201	Height
rs3002296	Neuroticism conditioned on educational attainment (multi-trait conditioning and joint analysis)
rs12058304	No associated clinical information for this SNP
rs12129366	No associated clinical information for this SNP
rs10494975	No associated clinical information for this SNP
rs4615815	No associated clinical information for this SNP
rs4472734	Height
rs4394613	No associated clinical information for this SNP
rs10494978	No associated clinical information for this SNP
rs10158490	No associated clinical information for this SNP
rs6698434	No associated clinical information for this SNP
rs17023155	No associated clinical information for this SNP
rs7523691	No associated clinical information for this SNP
rs2807644	No associated clinical information for this SNP
rs12563432	No associated clinical information for this SNP
rs12067133	No associated clinical information for this SNP
rs2666839	No associated clinical information for this SNP
rs438034	Response to antineoplastic agents
rs417774	No associated clinical information for this SNP
rs6699978	No associated clinical information for this SNP
rs12747547	No associated clinical information for this SNP
rs17023499	No associated clinical information for this SNP
rs7414883	No associated clinical information for this SNP
rs12128520	No associated clinical information for this SNP
rs9727842	No associated clinical information for this SNP
rs11807086	No associated clinical information for this SNP
rs1336948	No associated clinical information for this SNP
rs7524233	No associated clinical information for this SNP
rs17601260	No associated clinical information for this SNP
rs6540871	No associated clinical information for this SNP
rs477485	No associated clinical information for this SNP
rs497870	No associated clinical information for this SNP
rs6684902	No associated clinical information for this SNP
rs1377185	No associated clinical information for this SNP
rs11120453	No associated clinical information for this SNP
rs487208	No associated clinical information for this SNP
rs12120746	No associated clinical information for this SNP
rs1452623	No associated clinical information for this SNP
rs2601607	No associated clinical information for this SNP
rs1452607	No associated clinical information for this SNP
rs12069528	No associated clinical information for this SNP
rs12131054	No associated clinical information for this SNP
rs10465699	No associated clinical information for this SNP
rs12757222	No associated clinical information for this SNP
rs12080135	No associated clinical information for this SNP
rs12094438	No associated clinical information for this SNP
rs2211127	No associated clinical information for this SNP
rs6540891	No associated clinical information for this SNP
rs12093830	No associated clinical information for this SNP
rs11803705	No associated clinical information for this SNP
rs11120594	No associated clinical information for this SNP
rs10495003	No associated clinical information for this SNP
rs11120596	No associated clinical information for this SNP
rs12123457	No associated clinical information for this SNP
rs11120605	No associated clinical information for this SNP
rs4655426	No associated clinical information for this SNP
rs6656366	No associated clinical information for this SNP
rs10495005	No associated clinical information for this SNP
rs7549052	No associated clinical information for this SNP
rs10864199	No associated clinical information for this SNP
rs2027355	No associated clinical information for this SNP
rs12126127	No associated clinical information for this SNP
rs1006236	No associated clinical information for this SNP
rs11120678	No associated clinical information for this SNP
rs12091359	No associated clinical information for this SNP
rs17025561	No associated clinical information for this SNP
rs12403949	No associated clinical information for this SNP
rs11120695	No associated clinical information for this SNP
rs531780	No associated clinical information for this SNP
rs11120704	No associated clinical information for this SNP
rs7519838	No associated clinical information for this SNP
rs7531706	No associated clinical information for this SNP
rs10864228	No associated clinical information for this SNP
rs10495015	No associated clinical information for this SNP
rs2669057	No associated clinical information for this SNP
rs2168924	No associated clinical information for this SNP
rs11117582	No associated clinical information for this SNP
rs11117584	No associated clinical information for this SNP
rs6691953	No associated clinical information for this SNP
rs4240923	Height
rs9803970	No associated clinical information for this SNP
rs12125859	No associated clinical information for this SNP
rs6694260	No associated clinical information for this SNP
rs17042779	No associated clinical information for this SNP
rs17042811	No associated clinical information for this SNP
rs11572745	Height
rs11577585	No associated clinical information for this SNP
rs2820879	No associated clinical information for this SNP
rs10495034	No associated clinical information for this SNP
rs7521774	No associated clinical information for this SNP
rs2185237	No associated clinical information for this SNP
rs17043730	No associated clinical information for this SNP
rs6693633	No associated clinical information for this SNP
rs17043774	No associated clinical information for this SNP
rs1572738	No associated clinical information for this SNP
rs6702277	No associated clinical information for this SNP
rs2576238	No associated clinical information for this SNP
rs1339356	No associated clinical information for this SNP
rs1542003	No associated clinical information for this SNP
rs11117697	No associated clinical information for this SNP
rs11117717	No associated clinical information for this SNP
rs1436879	No associated clinical information for this SNP
rs10863278	No associated clinical information for this SNP
rs11572499	No associated clinical information for this SNP
rs2818753	No associated clinical information for this SNP
rs10492957	No associated clinical information for this SNP
rs12065974	No associated clinical information for this SNP
rs4846798	No associated clinical information for this SNP
rs2576196	No associated clinical information for this SNP
rs867410	No associated clinical information for this SNP
rs17041541	No associated clinical information for this SNP
rs6604651	No associated clinical information for this SNP
rs7523193	No associated clinical information for this SNP
rs7527281	No associated clinical information for this SNP
rs4360582	No associated clinical information for this SNP
rs6680670	No associated clinical information for this SNP
rs4630180	No associated clinical information for this SNP
rs10495039	No associated clinical information for this SNP
rs4537652	No associated clinical information for this SNP
rs4539203	No associated clinical information for this SNP
rs12402289	No associated clinical information for this SNP
rs4846812	No associated clinical information for this SNP
rs1354221	No associated clinical information for this SNP
rs830320	No associated clinical information for this SNP
rs11576172	No associated clinical information for this SNP
rs1892259	No associated clinical information for this SNP
rs11117785	No associated clinical information for this SNP
rs17696625	No associated clinical information for this SNP
rs11117791	No associated clinical information for this SNP
rs12038637	No associated clinical information for this SNP
rs11117814	No associated clinical information for this SNP
rs7535579	No associated clinical information for this SNP
rs12723457	No associated clinical information for this SNP
rs4146799	No associated clinical information for this SNP
rs4846406	No associated clinical information for this SNP
rs7515834	No associated clinical information for this SNP
rs12758898	No associated clinical information for this SNP
rs2815259	No associated clinical information for this SNP
rs12758038	No associated clinical information for this SNP
rs964347	No associated clinical information for this SNP
rs6665347	No associated clinical information for this SNP
rs2998900	No associated clinical information for this SNP
rs12127692	Height
rs265125	No associated clinical information for this SNP
rs4846415	No associated clinical information for this SNP
rs7527314	No associated clinical information for this SNP
rs10495064	No associated clinical information for this SNP
rs10495069	No associated clinical information for this SNP
rs12064774	No associated clinical information for this SNP
rs6604558	No associated clinical information for this SNP
rs6694862	No associated clinical information for this SNP
rs1397182	No associated clinical information for this SNP
rs17046902	No associated clinical information for this SNP
rs12409486	No associated clinical information for this SNP
rs11117953	No associated clinical information for this SNP
rs7530786	No associated clinical information for this SNP
rs6679330	No associated clinical information for this SNP
rs871378	No associated clinical information for this SNP
rs1397178	No associated clinical information for this SNP
rs7546902	No associated clinical information for this SNP
rs7513675	No associated clinical information for this SNP
rs1335006	No associated clinical information for this SNP
rs11803520	No associated clinical information for this SNP
rs10746374	No associated clinical information for this SNP
rs12142065	No associated clinical information for this SNP
rs6678226	No associated clinical information for this SNP
rs1029170	No associated clinical information for this SNP
rs521009	No associated clinical information for this SNP
rs17047450	No associated clinical information for this SNP
rs11118045	No associated clinical information for this SNP
rs10495096	No associated clinical information for this SNP
rs6694166	No associated clinical information for this SNP
rs12563602	No associated clinical information for this SNP
rs12128367	No associated clinical information for this SNP
rs11118083	No associated clinical information for this SNP
rs10495098	Height
rs17047703	Intraocular pressure
rs2009112	No associated clinical information for this SNP
rs947712	No associated clinical information for this SNP
rs1317681	Peripheral arterial disease (traffic-related air pollution interaction)
rs725033	No associated clinical information for this SNP
rs6604616	No associated clinical information for this SNP
rs12033060	Post bronchodilator FEV1/FVC ratio
rs4846488	No associated clinical information for this SNP
rs9431469	No associated clinical information for this SNP
rs12026846	No associated clinical information for this SNP
rs2378013	No associated clinical information for this SNP
rs12741689	No associated clinical information for this SNP
rs12033283	No associated clinical information for this SNP
rs2378023	No associated clinical information for this SNP
rs7526290	No associated clinical information for this SNP
rs17048875	No associated clinical information for this SNP
rs11118183	No associated clinical information for this SNP
rs6687738	No associated clinical information for this SNP
rs12030816	No associated clinical information for this SNP
rs10495127	No associated clinical information for this SNP
rs1256640	No associated clinical information for this SNP
rs12141207	No associated clinical information for this SNP
rs7545152	No associated clinical information for this SNP
rs11118234	No associated clinical information for this SNP
rs4339871	No associated clinical information for this SNP
rs12137276	No associated clinical information for this SNP
rs7553882	No associated clinical information for this SNP
rs12123734	No associated clinical information for this SNP
rs11118296	No associated clinical information for this SNP
rs2605087	No associated clinical information for this SNP
rs12747505	Triglycerides to total lipids ratio in medium HDL
rs12724708	Appendicular lean mass
rs718699	No associated clinical information for this SNP
rs10735496	Hip circumference adjusted for BMI
rs11800993	No associated clinical information for this SNP
rs4428898	Umbilical hernia
rs11804116	No associated clinical information for this SNP
rs12061821	No associated clinical information for this SNP
rs4373767	Umbilical hernia
rs945717	No associated clinical information for this SNP
rs12405272	No associated clinical information for this SNP
rs17006312	Hip index
rs4532841	Corneal resistance factor (MTAG)
rs10157552	No associated clinical information for this SNP
rs17006538	No associated clinical information for this SNP
rs17006599	No associated clinical information for this SNP
rs7523475	No associated clinical information for this SNP
rs11118429	No associated clinical information for this SNP
rs7519615	No associated clinical information for this SNP
rs12403850	No associated clinical information for this SNP
rs884127	Urolithiasis
rs6700061	No associated clinical information for this SNP
rs12129498	No associated clinical information for this SNP
rs11118465	No associated clinical information for this SNP
rs10495143	No associated clinical information for this SNP
rs11118488	No associated clinical information for this SNP
rs6541124	No associated clinical information for this SNP
rs12136801	No associated clinical information for this SNP
rs2808022	No associated clinical information for this SNP
rs11118505	No associated clinical information for this SNP
rs12040095	No associated clinical information for this SNP
rs2667960	No associated clinical information for this SNP
rs2808019	No associated clinical information for this SNP
rs1511695	No associated clinical information for this SNP
rs2175480	No associated clinical information for this SNP
rs11118527	No associated clinical information for this SNP
rs1567602	No associated clinical information for this SNP
rs9803782	No associated clinical information for this SNP
rs12754802	No associated clinical information for this SNP
rs6672068	No associated clinical information for this SNP
rs12563560	No associated clinical information for this SNP
rs7530302	No associated clinical information for this SNP
rs6694126	No associated clinical information for this SNP
rs10047144	No associated clinical information for this SNP
rs2253641	No associated clinical information for this SNP
rs366414	No associated clinical information for this SNP
rs12127880	No associated clinical information for this SNP
rs12133663	No associated clinical information for this SNP
rs7537305	No associated clinical information for this SNP
rs7534861	No associated clinical information for this SNP
rs6541166	No associated clinical information for this SNP
rs1335928	No associated clinical information for this SNP
rs11587049	No associated clinical information for this SNP
rs7546886	No associated clinical information for this SNP
rs7542375	Obesity-related traits
rs2807873	No associated clinical information for this SNP
rs2484702	No associated clinical information for this SNP
rs10495161	Mean corpuscular hemoglobin
rs4846676	No associated clinical information for this SNP
rs2784264	No associated clinical information for this SNP
rs10489960	No associated clinical information for this SNP
rs11802047	Height
rs17521587	No associated clinical information for this SNP
rs4517352	No associated clinical information for this SNP
rs4846715	No associated clinical information for this SNP
rs1459222	No associated clinical information for this SNP
rs6699367	No associated clinical information for this SNP
rs875563	No associated clinical information for this SNP
rs7549150	No associated clinical information for this SNP
rs9725646	No associated clinical information for this SNP
rs4846348	No associated clinical information for this SNP
rs12025155	No associated clinical information for this SNP
rs12134883	No associated clinical information for this SNP
rs7525746	No associated clinical information for this SNP
rs12025878	No associated clinical information for this SNP
rs953111	No associated clinical information for this SNP
rs6604665	No associated clinical information for this SNP
rs12749729	No associated clinical information for this SNP
rs12091463	No associated clinical information for this SNP
rs11118852	No associated clinical information for this SNP
rs4433402	No associated clinical information for this SNP
rs10863654	No associated clinical information for this SNP
rs4073062	No associated clinical information for this SNP
rs12042853	No associated clinical information for this SNP
rs4528124	No associated clinical information for this SNP
rs6604674	No associated clinical information for this SNP
rs11118882	No associated clinical information for this SNP
rs11811613	No associated clinical information for this SNP
rs17011057	No associated clinical information for this SNP
rs12749003	No associated clinical information for this SNP
rs12036536	No associated clinical information for this SNP
rs11118924	Core binding factor acute myeloid leukemia
rs12125368	Core binding factor acute myeloid leukemia
rs2584316	No associated clinical information for this SNP
rs1078502	No associated clinical information for this SNP
rs1442440	No associated clinical information for this SNP
rs7548749	Height
rs6702063	No associated clinical information for this SNP
rs753961	No associated clinical information for this SNP
rs11118950	No associated clinical information for this SNP
rs1007216	No associated clinical information for this SNP
rs7513668	No associated clinical information for this SNP
rs11118953	No associated clinical information for this SNP
rs2165659	No associated clinical information for this SNP
rs1537852	No associated clinical information for this SNP
rs11487804	No associated clinical information for this SNP
rs158758	No associated clinical information for this SNP
rs11485173	No associated clinical information for this SNP
rs17011544	No associated clinical information for this SNP
rs1843913	No associated clinical information for this SNP
rs35746652	No associated clinical information for this SNP
