SNP_ID	Chromosome_Number	Chromosome_Position	Genes	DiseaseTrait
rs487208	1	214969935	No gene information found	No associated clinical information for this SNP
rs12120746	1	214976793	No gene information found	No associated clinical information for this SNP
rs1452623	1	214991964	No gene information found	No associated clinical information for this SNP
rs2601607	1	215015331	KCNK2	No associated clinical information for this SNP
rs1452607	1	215018149	KCNK2	No associated clinical information for this SNP
rs12069528	1	215044357	KCNK2	No associated clinical information for this SNP
rs12131054	1	215054891	KCNK2	No associated clinical information for this SNP
rs10465699	1	215128181	KCNK2	No associated clinical information for this SNP
rs12757222	1	215151675	KCNK2	No associated clinical information for this SNP
rs12080135	1	215223200	KCNK2	No associated clinical information for this SNP
rs12094438	1	215241179	No gene information found	No associated clinical information for this SNP
rs2211127	1	215300671	No gene information found	No associated clinical information for this SNP
rs6540891	1	215307052	No gene information found	No associated clinical information for this SNP
rs12093830	1	215353359	No gene information found	No associated clinical information for this SNP
rs11803705	1	215580012	KCTD3	No associated clinical information for this SNP
rs11120594	1	215665748	USH2A	No associated clinical information for this SNP
rs10495003	1	215676005	USH2A	No associated clinical information for this SNP
rs11120596	1	215677475	USH2A	No associated clinical information for this SNP
rs12123457	1	215687122	USH2A	No associated clinical information for this SNP
rs11120605	1	215692592	USH2A	No associated clinical information for this SNP
rs4655426	1	215719721	USH2A	No associated clinical information for this SNP
rs6656366	1	215744501	USH2A	No associated clinical information for this SNP
rs10495005	1	215764029	USH2A	No associated clinical information for this SNP
rs7549052	1	215776264	USH2A	No associated clinical information for this SNP
rs10864199	1	215795209	USH2A	No associated clinical information for this SNP
rs2027355	1	215837746	USH2A	No associated clinical information for this SNP
rs12126127	1	215861138	USH2A	No associated clinical information for this SNP
rs1006236	1	215864303	USH2A	No associated clinical information for this SNP
rs11120678	1	215864566	USH2A	No associated clinical information for this SNP
rs12091359	1	215885949	USH2A	No associated clinical information for this SNP
rs17025561	1	215891556	USH2A	No associated clinical information for this SNP
rs12403949	1	215903817	USH2A	No associated clinical information for this SNP
rs11120695	1	215906788	USH2A	No associated clinical information for this SNP
rs531780	1	215944498	USH2A	No associated clinical information for this SNP
rs11120704	1	215971485	USH2A	No associated clinical information for this SNP
rs7519838	1	216015258	USH2A	No associated clinical information for this SNP
rs7531706	1	216024257	USH2A	No associated clinical information for this SNP
rs10864228	1	216051598	USH2A	No associated clinical information for this SNP
rs10495015	1	216086122	USH2A-AS2;USH2A	No associated clinical information for this SNP
rs2669057	1	216226680	USH2A	No associated clinical information for this SNP
rs2168924	1	216266763	USH2A	No associated clinical information for this SNP
rs11117582	1	216448866	No gene information found	No associated clinical information for this SNP
rs11117584	1	216459073	No gene information found	No associated clinical information for this SNP
rs6691953	1	216481780	No gene information found	No associated clinical information for this SNP
rs4240923	1	216483917	No gene information found	Height
rs9803970	1	216515497	ESRRG	No associated clinical information for this SNP
rs12125859	1	216527757	ESRRG	No associated clinical information for this SNP
rs6694260	1	216539549	ESRRG	No associated clinical information for this SNP
rs17042779	1	216540972	ESRRG	No associated clinical information for this SNP
rs17042811	1	216551776	ESRRG	No associated clinical information for this SNP
rs11572745	1	216583098	ESRRG	Height
rs11577585	1	216622353	ESRRG	No associated clinical information for this SNP
rs2820879	1	216710301	ESRRG	No associated clinical information for this SNP
rs10495034	1	216724739	ESRRG	No associated clinical information for this SNP
rs7521774	1	216730113	ESRRG	No associated clinical information for this SNP
rs2185237	1	216753072	ESRRG	No associated clinical information for this SNP
rs17043730	1	216755748	ESRRG	No associated clinical information for this SNP
rs6693633	1	216765199	ESRRG	No associated clinical information for this SNP
rs17043774	1	216771521	ESRRG	No associated clinical information for this SNP
rs1572738	1	216778545	ESRRG	No associated clinical information for this SNP
rs6702277	1	216783343	ESRRG	No associated clinical information for this SNP
rs2576238	1	216810067	ESRRG	No associated clinical information for this SNP
rs1339356	1	216811526	ESRRG	No associated clinical information for this SNP
rs1542003	1	216846223	ESRRG	No associated clinical information for this SNP
rs11117697	1	216848124	ESRRG	No associated clinical information for this SNP
rs11117717	1	216888798	ESRRG	No associated clinical information for this SNP
rs1436879	1	216909043	ESRRG	No associated clinical information for this SNP
rs10863278	1	216919968	ESRRG	No associated clinical information for this SNP
rs11572499	1	216930904	ESRRG	No associated clinical information for this SNP
rs2818753	1	216939885	ESRRG	No associated clinical information for this SNP
rs10492957	1	216951389	ESRRG	No associated clinical information for this SNP
rs12065974	1	216956700	ESRRG	No associated clinical information for this SNP
rs4846798	1	216958676	ESRRG	No associated clinical information for this SNP
rs2576196	1	216982159	ESRRG	No associated clinical information for this SNP
rs867410	1	216986106	ESRRG	No associated clinical information for this SNP
rs17041541	1	216992206	ESRRG	No associated clinical information for this SNP
rs6604651	1	217022121	ESRRG	No associated clinical information for this SNP
rs7523193	1	217026435	ESRRG	No associated clinical information for this SNP
rs7527281	1	217029749	ESRRG	No associated clinical information for this SNP
rs4360582	1	217042123	ESRRG	No associated clinical information for this SNP
rs6680670	1	217056673	ESRRG	No associated clinical information for this SNP
rs4630180	1	217057280	ESRRG	No associated clinical information for this SNP
rs10495039	1	217062973	ESRRG	No associated clinical information for this SNP
rs4537652	1	217064844	ESRRG	No associated clinical information for this SNP
rs4539203	1	217064980	ESRRG	No associated clinical information for this SNP
rs12402289	1	217071666	ESRRG	No associated clinical information for this SNP
rs4846812	1	217076108	ESRRG	No associated clinical information for this SNP
rs1354221	1	217111967	ESRRG	No associated clinical information for this SNP
rs830320	1	217125296	ESRRG	No associated clinical information for this SNP
rs11576172	1	217151312	No gene information found	No associated clinical information for this SNP
rs1892259	1	217178726	No gene information found	No associated clinical information for this SNP
rs11117785	1	217179072	No gene information found	No associated clinical information for this SNP
rs17696625	1	217179147	No gene information found	No associated clinical information for this SNP
rs11117791	1	217182246	No gene information found	No associated clinical information for this SNP
rs12038637	1	217183818	No gene information found	No associated clinical information for this SNP
rs11117814	1	217226057	No gene information found	No associated clinical information for this SNP
rs7535579	1	217235822	No gene information found	No associated clinical information for this SNP
rs12723457	1	217246438	No gene information found	No associated clinical information for this SNP
rs4146799	1	217262294	No gene information found	No associated clinical information for this SNP
rs4846406	1	217279877	No gene information found	No associated clinical information for this SNP
rs7515834	1	217294131	No gene information found	No associated clinical information for this SNP
rs12758898	1	217298653	No gene information found	No associated clinical information for this SNP
rs2815259	1	217300625	No gene information found	No associated clinical information for this SNP
rs12758038	1	217328132	No gene information found	No associated clinical information for this SNP
rs964347	1	217338588	No gene information found	No associated clinical information for this SNP
rs6665347	1	217342642	No gene information found	No associated clinical information for this SNP
rs2998900	1	217419928	No gene information found	No associated clinical information for this SNP
rs12127692	1	217422005	No gene information found	Height
rs265125	1	217447088	GPATCH2	No associated clinical information for this SNP
rs4846415	1	217506693	GPATCH2	No associated clinical information for this SNP
rs7527314	1	217646215	SPATA17	No associated clinical information for this SNP
rs10495064	1	217656847	SPATA17	No associated clinical information for this SNP
rs10495069	1	217673762	SPATA17	No associated clinical information for this SNP
rs12064774	1	217721495	SPATA17	No associated clinical information for this SNP
rs6604558	1	217761864	SPATA17	No associated clinical information for this SNP
rs6694862	1	217793752	SPATA17	No associated clinical information for this SNP
rs1397182	1	217813619	SPATA17	No associated clinical information for this SNP
rs17046902	1	217833185	SPATA17	No associated clinical information for this SNP
rs12409486	1	217843485	SPATA17	No associated clinical information for this SNP
rs11117953	1	217863475	SPATA17	No associated clinical information for this SNP
rs7530786	1	217888069	No gene information found	No associated clinical information for this SNP
rs6679330	1	217894323	LINC00210	No associated clinical information for this SNP
rs871378	1	217911913	LINC00210	No associated clinical information for this SNP
rs1397178	1	217926235	No gene information found	No associated clinical information for this SNP
rs7546902	1	217973955	No gene information found	No associated clinical information for this SNP
rs7513675	1	217974193	No gene information found	No associated clinical information for this SNP
rs1335006	1	217982834	No gene information found	No associated clinical information for this SNP
rs11803520	1	217986028	No gene information found	No associated clinical information for this SNP
rs10746374	1	218006046	No gene information found	No associated clinical information for this SNP
rs12142065	1	218027683	No gene information found	No associated clinical information for this SNP
rs6678226	1	218054508	LINC01653	No associated clinical information for this SNP
rs1029170	1	218126688	No gene information found	No associated clinical information for this SNP
rs521009	1	218139171	No gene information found	No associated clinical information for this SNP
rs17047450	1	218158536	No gene information found	No associated clinical information for this SNP
rs11118045	1	218159067	No gene information found	No associated clinical information for this SNP
rs10495096	1	218175567	No gene information found	No associated clinical information for this SNP
rs6694166	1	218179869	No gene information found	No associated clinical information for this SNP
rs12563602	1	218249608	No gene information found	No associated clinical information for this SNP
rs12128367	1	218258967	No gene information found	No associated clinical information for this SNP
rs11118083	1	218327249	RRP15	No associated clinical information for this SNP
rs10495098	1	218342968	No gene information found	Height
rs17047703	1	218352246	TGFB2	Intraocular pressure
rs2009112	1	218380187	TGFB2	No associated clinical information for this SNP
rs947712	1	218391539	TGFB2	No associated clinical information for this SNP
rs1317681	1	218401860	TGFB2	Peripheral arterial disease (traffic-related air pollution interaction)
rs725033	1	218470598	LINC02869	No associated clinical information for this SNP
rs6604616	1	218473612	LINC02869	No associated clinical information for this SNP
rs12033060	1	218517972	LINC02869	Post bronchodilator FEV1/FVC ratio
rs4846488	1	218544400	No gene information found	No associated clinical information for this SNP
rs9431469	1	218760796	No gene information found	No associated clinical information for this SNP
rs12026846	1	218767602	No gene information found	No associated clinical information for this SNP
rs2378013	1	218778122	No gene information found	No associated clinical information for this SNP
rs12741689	1	218817799	No gene information found	No associated clinical information for this SNP
rs12033283	1	218819458	No gene information found	No associated clinical information for this SNP
rs2378023	1	218824090	No gene information found	No associated clinical information for this SNP
rs7526290	1	218847538	No gene information found	No associated clinical information for this SNP
rs17048875	1	218943061	No gene information found	No associated clinical information for this SNP
rs11118183	1	218962643	No gene information found	No associated clinical information for this SNP
rs6687738	1	218982447	LYPLAL1-DT	No associated clinical information for this SNP
rs12030816	1	219005026	LYPLAL1-DT	No associated clinical information for this SNP
rs10495127	1	219035578	LYPLAL1-DT	No associated clinical information for this SNP
rs1256640	1	219075385	LYPLAL1-DT	No associated clinical information for this SNP
rs12141207	1	219100539	LYPLAL1-DT	No associated clinical information for this SNP
rs7545152	1	219125197	LYPLAL1-DT	No associated clinical information for this SNP
rs11118234	1	219194620	LYPLAL1	No associated clinical information for this SNP
rs4339871	1	219259688	No gene information found	No associated clinical information for this SNP
rs12137276	1	219357484	No gene information found	No associated clinical information for this SNP
rs7553882	1	219365724	No gene information found	No associated clinical information for this SNP
rs12123734	1	219404280	No gene information found	No associated clinical information for this SNP
rs11118296	1	219408638	No gene information found	No associated clinical information for this SNP
rs2605087	1	219428751	LYPLAL1-AS1	No associated clinical information for this SNP
rs12747505	1	219444693	LYPLAL1-AS1	Triglycerides to total lipids ratio in medium HDL
rs12724708	1	219447227	LYPLAL1-AS1	Appendicular lean mass
rs718699	1	219496994	No gene information found	No associated clinical information for this SNP
rs10735496	1	219550064	No gene information found	Hip circumference adjusted for BMI
rs11800993	1	219555908	No gene information found	No associated clinical information for this SNP
rs4428898	1	219566624	No gene information found	Umbilical hernia
rs11804116	1	219568498	No gene information found	No associated clinical information for this SNP
rs12061821	1	219580299	No gene information found	No associated clinical information for this SNP
rs4373767	1	219586340	No gene information found	Umbilical hernia
rs945717	1	219664762	No gene information found	No associated clinical information for this SNP
rs12405272	1	219669397	No gene information found	No associated clinical information for this SNP
rs17006312	1	219672466	No gene information found	Hip index
rs4532841	1	219717161	SLC30A10	Corneal resistance factor (MTAG)
rs10157552	1	219738401	SLC30A10	No associated clinical information for this SNP
rs17006538	1	219753375	SLC30A10	No associated clinical information for this SNP
rs17006599	1	219763423	SLC30A10	No associated clinical information for this SNP
rs7523475	1	219774558	SLC30A10	No associated clinical information for this SNP
rs11118429	1	219825761	SLC30A10	No associated clinical information for this SNP
rs7519615	1	219873960	SLC30A10	No associated clinical information for this SNP
rs12403850	1	219906039	SLC30A10	No associated clinical information for this SNP
rs884127	1	219908808	SLC30A10	Urolithiasis
rs6700061	1	219924987	SLC30A10	No associated clinical information for this SNP
rs12129498	1	219934575	SLC30A10	No associated clinical information for this SNP
rs11118465	1	219946042	SLC30A10	No associated clinical information for this SNP
rs10495143	1	219994029	EPRS1	No associated clinical information for this SNP
rs11118488	1	220031520	EPRS1	No associated clinical information for this SNP
rs6541124	1	220045124	EPRS1	No associated clinical information for this SNP
rs12136801	1	220089717	BPNT1	No associated clinical information for this SNP
rs2808022	1	220128775	IARS2	No associated clinical information for this SNP
rs11118505	1	220218339	RAB3GAP2	No associated clinical information for this SNP
rs12040095	1	220220072	RAB3GAP2	No associated clinical information for this SNP
rs2667960	1	220270659	RAB3GAP2	No associated clinical information for this SNP
rs2808019	1	220271583	RAB3GAP2	No associated clinical information for this SNP
rs1511695	1	220274988	No gene information found	No associated clinical information for this SNP
rs2175480	1	220322054	No gene information found	No associated clinical information for this SNP
rs11118527	1	220331081	No gene information found	No associated clinical information for this SNP
rs1567602	1	220339177	No gene information found	No associated clinical information for this SNP
rs9803782	1	220350179	No gene information found	No associated clinical information for this SNP
rs12754802	1	220366191	No gene information found	No associated clinical information for this SNP
rs6672068	1	220448408	No gene information found	No associated clinical information for this SNP
rs12563560	1	220485362	LINC02779	No associated clinical information for this SNP
rs7530302	1	220491610	No gene information found	No associated clinical information for this SNP
rs6694126	1	220519659	No gene information found	No associated clinical information for this SNP
rs10047144	1	220555022	MARK1	No associated clinical information for this SNP
rs2253641	1	220598550	MARK1	No associated clinical information for this SNP
rs366414	1	220675759	No gene information found	No associated clinical information for this SNP
rs12127880	1	220730423	No gene information found	No associated clinical information for this SNP
rs12133663	1	220746741	No gene information found	No associated clinical information for this SNP
rs7537305	1	220782670	MTARC2	No associated clinical information for this SNP
rs7534861	1	220812558	MTARC1	No associated clinical information for this SNP
rs6541166	1	220896028	No gene information found	No associated clinical information for this SNP
rs1335928	1	220922257	No gene information found	No associated clinical information for this SNP
rs11587049	1	220926544	No gene information found	No associated clinical information for this SNP
rs7546886	1	220926653	No gene information found	No associated clinical information for this SNP
rs7542375	1	220938438	No gene information found	Obesity-related traits
rs2807873	1	220940281	No gene information found	No associated clinical information for this SNP
rs2484702	1	220956342	No gene information found	No associated clinical information for this SNP
rs10495161	1	220963330	No gene information found	Mean corpuscular hemoglobin
rs4846676	1	220979260	No gene information found	No associated clinical information for this SNP
rs2784264	1	220982477	No gene information found	No associated clinical information for this SNP
rs10489960	1	221014780	No gene information found	No associated clinical information for this SNP
rs11802047	1	221257000	No gene information found	Height
rs17521587	1	221321992	No gene information found	No associated clinical information for this SNP
rs4517352	1	221350331	No gene information found	No associated clinical information for this SNP
rs4846715	1	221370201	No gene information found	No associated clinical information for this SNP
rs1459222	1	221408453	No gene information found	No associated clinical information for this SNP
rs6699367	1	221477698	No gene information found	No associated clinical information for this SNP
rs875563	1	221486207	No gene information found	No associated clinical information for this SNP
rs7549150	1	221488000	No gene information found	No associated clinical information for this SNP
rs9725646	1	221512018	No gene information found	No associated clinical information for this SNP
rs4846348	1	221529367	No gene information found	No associated clinical information for this SNP
rs12025155	1	221538669	No gene information found	No associated clinical information for this SNP
rs12134883	1	221573553	No gene information found	No associated clinical information for this SNP
rs7525746	1	221646652	No gene information found	No associated clinical information for this SNP
rs12025878	1	221669849	No gene information found	No associated clinical information for this SNP
rs953111	1	221689086	No gene information found	No associated clinical information for this SNP
rs6604665	1	221696092	No gene information found	No associated clinical information for this SNP
rs12749729	1	221710154	DUSP10	No associated clinical information for this SNP
rs12091463	1	221725441	DUSP10	No associated clinical information for this SNP
rs11118852	1	221766929	No gene information found	No associated clinical information for this SNP
rs4433402	1	221772830	No gene information found	No associated clinical information for this SNP
rs10863654	1	221773445	No gene information found	No associated clinical information for this SNP
rs4073062	1	221782744	No gene information found	No associated clinical information for this SNP
rs12042853	1	221818086	No gene information found	No associated clinical information for this SNP
rs4528124	1	221844572	No gene information found	No associated clinical information for this SNP
rs6604674	1	221847866	No gene information found	No associated clinical information for this SNP
rs11118882	1	221879892	No gene information found	No associated clinical information for this SNP
rs11811613	1	221882061	LINC02257	No associated clinical information for this SNP
rs17011057	1	221905172	LINC02257	No associated clinical information for this SNP
rs12749003	1	221928854	LINC02257	No associated clinical information for this SNP
rs12036536	1	221979060	LINC02474	No associated clinical information for this SNP
rs11118924	1	221994768	No gene information found	Core binding factor acute myeloid leukemia
rs12125368	1	222025330	LINC01705	Core binding factor acute myeloid leukemia
rs2584316	1	222037987	LINC01705	No associated clinical information for this SNP
rs1078502	1	222041238	LINC01705	No associated clinical information for this SNP
rs1442440	1	222066192	No gene information found	No associated clinical information for this SNP
rs7548749	1	222068346	No gene information found	Height
rs6702063	1	222097382	No gene information found	No associated clinical information for this SNP
rs753961	1	222099907	No gene information found	No associated clinical information for this SNP
rs11118950	1	222108533	No gene information found	No associated clinical information for this SNP
rs1007216	1	222109874	No gene information found	No associated clinical information for this SNP
rs7513668	1	222122246	No gene information found	No associated clinical information for this SNP
rs11118953	1	222129626	No gene information found	No associated clinical information for this SNP
rs2165659	1	222129805	No gene information found	No associated clinical information for this SNP
rs1537852	1	222186904	No gene information found	No associated clinical information for this SNP
rs11487804	1	222231459	No gene information found	No associated clinical information for this SNP
rs158758	1	222282304	No gene information found	No associated clinical information for this SNP
rs11485173	1	222311403	No gene information found	No associated clinical information for this SNP
rs17011544	1	222341995	No gene information found	No associated clinical information for this SNP
rs1843913	1	222430450	No gene information found	No associated clinical information for this SNP
rs35746652	1	222539866	HHIPL2	No associated clinical information for this SNP
rs17011628	1	222545376	HHIPL2	No associated clinical information for this SNP
rs9286760	1	222746340	FAM177B	No associated clinical information for this SNP
rs17163479	1	222760453	No gene information found	No associated clinical information for this SNP
rs17163483	1	222774526	No gene information found	No associated clinical information for this SNP
rs17163521	1	222842598	DISP1	No associated clinical information for this SNP
rs34194482	1	222849589	DISP1	No associated clinical information for this SNP
rs2609379	1	222951574	DISP1	No associated clinical information for this SNP
rs1339461	1	222989311	DISP1	No associated clinical information for this SNP
rs17163737	1	223129809	TLR5	No associated clinical information for this SNP
rs851152	1	223220676	No gene information found	No associated clinical information for this SNP
rs885279	1	223269331	SUSD4	No associated clinical information for this SNP
rs17577025	1	223275675	SUSD4	No associated clinical information for this SNP
rs1713218	1	223288840	SUSD4	No associated clinical information for this SNP
rs17163777	1	223295390	SUSD4	No associated clinical information for this SNP
rs35996176	1	223333174	SUSD4	No associated clinical information for this SNP
rs35727959	1	223355751	SUSD4	No associated clinical information for this SNP
rs866096	1	223414473	No gene information found	No associated clinical information for this SNP
rs12141995	1	223430467	No gene information found	No associated clinical information for this SNP
rs7526539	1	223434483	No gene information found	No associated clinical information for this SNP
rs11588810	1	223439086	No gene information found	No associated clinical information for this SNP
rs11578784	1	223455088	No gene information found	No associated clinical information for this SNP
rs11261280	1	223458703	No gene information found	No associated clinical information for this SNP
rs4481842	1	223461850	No gene information found	No associated clinical information for this SNP
rs12036423	1	223470580	No gene information found	No associated clinical information for this SNP
rs17541382	1	223470707	No gene information found	No associated clinical information for this SNP
rs12745781	1	223476469	No gene information found	No associated clinical information for this SNP
rs4325124	1	223508709	No gene information found	No associated clinical information for this SNP
rs17162209	1	223519820	No gene information found	No associated clinical information for this SNP
rs6693911	1	223648535	CAPN8	No associated clinical information for this SNP
rs7516954	1	223658862	CAPN8	Spread type: Butter and margarine vs never use spread (UKB data field 1428)
rs12030569	1	223668712	No gene information found	No associated clinical information for this SNP
rs10495213	1	223683355	No gene information found	No associated clinical information for this SNP
rs12568612	1	223691381	No gene information found	No associated clinical information for this SNP
rs7545965	1	223695585	No gene information found	No associated clinical information for this SNP
rs6693884	1	223722007	CAPN2	No associated clinical information for this SNP
rs12040633	1	223777329	No gene information found	No associated clinical information for this SNP
rs4551564	1	224050014	No gene information found	No associated clinical information for this SNP
rs7513964	1	224068055	No gene information found	No associated clinical information for this SNP
rs6683927	1	224081252	No gene information found	No associated clinical information for this SNP
rs2896987	1	224085609	No gene information found	No associated clinical information for this SNP
rs10916290	1	224096673	No gene information found	No associated clinical information for this SNP
rs2008340	1	224125966	FBXO28	No associated clinical information for this SNP
rs3767732	1	224227807	NVL	No associated clinical information for this SNP
rs2001890	1	224306968	NVL	No associated clinical information for this SNP
rs6426126	1	224442993	CNIH3	No associated clinical information for this SNP
rs10799576	1	224456847	CNIH3	No associated clinical information for this SNP
rs10916619	1	224457183	CNIH3	Height
rs6682205	1	224517886	CNIH3	No associated clinical information for this SNP
rs873691	1	224591246	CNIH3	No associated clinical information for this SNP
rs11802812	1	224615423	CNIH3-AS2;CNIH3	No associated clinical information for this SNP
rs924362	1	224633848	CNIH3	No associated clinical information for this SNP
rs12145463	1	224636827	CNIH3	No associated clinical information for this SNP
rs12117838	1	224675435	CNIH3	No associated clinical information for this SNP
rs6426147	1	224676639	CNIH3	No associated clinical information for this SNP
rs12136553	1	224677942	CNIH3	No associated clinical information for this SNP
rs722849	1	224680343	CNIH3	No associated clinical information for this SNP
rs1436171	1	224694126	CNIH3	No associated clinical information for this SNP
rs1004222	1	224700930	CNIH3	No associated clinical information for this SNP
rs7525829	1	224720078	CNIH3-AS1;CNIH3	No associated clinical information for this SNP
rs2405523	1	224724232	CNIH3-AS1;CNIH3	No associated clinical information for this SNP
rs17519749	1	224786701	No gene information found	No associated clinical information for this SNP
rs11590145	1	224820140	No gene information found	No associated clinical information for this SNP
rs12028207	1	224858126	No gene information found	No associated clinical information for this SNP
rs2802734	1	224876110	No gene information found	No associated clinical information for this SNP
rs2051158	1	224879629	No gene information found	No associated clinical information for this SNP
rs10915741	1	224912131	DNAH14	No associated clinical information for this SNP
rs2501064	1	224955960	DNAH14	No associated clinical information for this SNP
rs2128270	1	224958475	DNAH14	No associated clinical information for this SNP
rs12071453	1	224970952	DNAH14	No associated clinical information for this SNP
rs2489337	1	224990496	DNAH14	No associated clinical information for this SNP
rs2489327	1	224995093	DNAH14	No associated clinical information for this SNP
rs650112	1	225230754	DNAH14	No associated clinical information for this SNP
rs664855	1	225231754	DNAH14	No associated clinical information for this SNP
rs610607	1	225241123	DNAH14	No associated clinical information for this SNP
rs712060	1	225248189	DNAH14	No associated clinical information for this SNP
rs670255	1	225257950	DNAH14	No associated clinical information for this SNP
rs653812	1	225278442	DNAH14	No associated clinical information for this SNP
rs1553447	1	225282442	DNAH14	No associated clinical information for this SNP
rs12035153	1	225305966	DNAH14	No associated clinical information for this SNP
rs10495236	1	225307954	DNAH14	No associated clinical information for this SNP
rs7524527	1	225307995	DNAH14	No associated clinical information for this SNP
rs4653418	1	225318560	DNAH14	No associated clinical information for this SNP
rs10495237	1	225318592	DNAH14	No associated clinical information for this SNP
rs3913654	1	225352324	DNAH14	No associated clinical information for this SNP
rs16845153	1	225666124	No gene information found	No associated clinical information for this SNP
rs7553931	1	225682528	No gene information found	No associated clinical information for this SNP
rs1876084	1	225692293	No gene information found	No associated clinical information for this SNP
rs17504298	1	225695697	No gene information found	No associated clinical information for this SNP
rs902959	1	225697455	No gene information found	No associated clinical information for this SNP
rs12038476	1	225726729	No gene information found	No associated clinical information for this SNP
rs4653662	1	225733953	No gene information found	No associated clinical information for this SNP
rs16845221	1	225736476	No gene information found	No associated clinical information for this SNP
rs11587971	1	225749916	No gene information found	No associated clinical information for this SNP
rs11588772	1	225756463	No gene information found	2-hydroxyadipate levels in elite athletes
rs12025085	1	225767970	No gene information found	No associated clinical information for this SNP
rs3753659	1	225825016	EPHX1	No associated clinical information for this SNP
rs3738042	1	225825687	EPHX1	No associated clinical information for this SNP
rs3766934	1	225827316	EPHX1	No associated clinical information for this SNP
rs2854456	1	225827658	EPHX1	No associated clinical information for this SNP
rs2234697	1	225828874	EPHX1	No associated clinical information for this SNP
rs4149222	1	225830326	EPHX1	No associated clinical information for this SNP
rs2292566	1	225831952	EPHX1	No associated clinical information for this SNP
rs2292568	1	225839958	EPHX1	No associated clinical information for this SNP
rs1009668	1	225852703	TMEM63A	No associated clinical information for this SNP
rs10915896	1	225907348	LEFTY1	No associated clinical information for this SNP
rs3753673	1	225941612	No gene information found	No associated clinical information for this SNP
rs12096737	1	226088853	LINC01703	No associated clinical information for this SNP
rs10915951	1	226155884	ACBD3	No associated clinical information for this SNP
rs2293464	1	226388595	PARP1	No associated clinical information for this SNP
rs11580815	1	226452976	No gene information found	No associated clinical information for this SNP
rs750426	1	226460962	No gene information found	No associated clinical information for this SNP
rs2099380	1	226466551	No gene information found	No associated clinical information for this SNP
rs898833	1	226483298	No gene information found	No associated clinical information for this SNP
rs11588657	1	226488598	No gene information found	No associated clinical information for this SNP
rs11578771	1	226488956	No gene information found	No associated clinical information for this SNP
rs1017767	1	226490767	No gene information found	No associated clinical information for this SNP
rs7524430	1	226505841	No gene information found	No associated clinical information for this SNP
rs10799360	1	226528778	No gene information found	No associated clinical information for this SNP
rs7545563	1	226530241	No gene information found	No associated clinical information for this SNP
rs16846105	1	226561247	STUM	No associated clinical information for this SNP
rs497911	1	226591748	STUM	No associated clinical information for this SNP
rs697839	1	226608274	STUM	No associated clinical information for this SNP
rs2236604	1	226637640	ITPKB	No associated clinical information for this SNP
rs12077348	1	226657805	ITPKB;ITPKB-IT1	No associated clinical information for this SNP
rs3754390	1	226664262	ITPKB;ITPKB-IT1	No associated clinical information for this SNP
rs3768405	1	226712714	ITPKB	No associated clinical information for this SNP
rs3768408	1	226722639	ITPKB	No associated clinical information for this SNP
rs3768414	1	226730197	ITPKB	No associated clinical information for this SNP
rs708777	1	226746021	No gene information found	No associated clinical information for this SNP
rs10495250	1	226785680	No gene information found	No associated clinical information for this SNP
rs10916039	1	226788868	No gene information found	No associated clinical information for this SNP
rs6426548	1	226826177	No gene information found	Height
rs10916054	1	226846112	No gene information found	No associated clinical information for this SNP
rs12128150	1	226849522	No gene information found	No associated clinical information for this SNP
rs16846644	1	226899542	PSEN2	No associated clinical information for this SNP
rs6660932	1	226936959	No gene information found	No associated clinical information for this SNP
rs1343743	1	226995424	CDC42BPA	No associated clinical information for this SNP
rs10916076	1	227020961	CDC42BPA	No associated clinical information for this SNP
rs10916077	1	227024323	CDC42BPA	No associated clinical information for this SNP
rs1929860	1	227029074	CDC42BPA	No associated clinical information for this SNP
rs11808332	1	227034014	CDC42BPA	No associated clinical information for this SNP
rs10495258	1	227123609	CDC42BPA	No associated clinical information for this SNP
rs595932	1	227124311	CDC42BPA	No associated clinical information for this SNP
rs1969230	1	227264999	UBA5P1;CDC42BPA	No associated clinical information for this SNP
rs16847561	1	227281848	CDC42BPA	No associated clinical information for this SNP
rs4653815	1	227293462	CDC42BPA	No associated clinical information for this SNP
rs7518813	1	227306328	CDC42BPA	No associated clinical information for this SNP
rs7539662	1	227323628	No gene information found	No associated clinical information for this SNP
rs10916122	1	227325332	No gene information found	No associated clinical information for this SNP
rs4075196	1	227354528	No gene information found	No associated clinical information for this SNP
rs4075861	1	227355110	No gene information found	No associated clinical information for this SNP
rs16847690	1	227356812	No gene information found	No associated clinical information for this SNP
rs4329477	1	227364793	No gene information found	No associated clinical information for this SNP
rs3014268	1	227371121	No gene information found	No associated clinical information for this SNP
rs3000803	1	227421670	LINC01641	No associated clinical information for this SNP
rs6664147	1	227429818	LINC01641	No associated clinical information for this SNP
rs16847813	1	227431214	No gene information found	No associated clinical information for this SNP
rs10916147	1	227438290	No gene information found	No associated clinical information for this SNP
rs16847833	1	227438961	No gene information found	No associated clinical information for this SNP
rs16847852	1	227455029	No gene information found	No associated clinical information for this SNP
rs9628651	1	227473381	No gene information found	No associated clinical information for this SNP
rs12410243	1	227481773	No gene information found	No associated clinical information for this SNP
rs2814065	1	227500482	No gene information found	No associated clinical information for this SNP
rs16859962	1	227513830	No gene information found	No associated clinical information for this SNP
rs3010193	1	227610621	ZNF678	No associated clinical information for this SNP
rs6426470	1	227665920	ZNF678	Color vision defects (Tritan)
rs6671682	1	227692574	No gene information found	No associated clinical information for this SNP
